MCS,class,num,smarts
CC1(C)SC2C(NC(=O)C)C(=O)N2C1C(O)=O,1216,9,[#6]-[#6]-1(-[#16]-[#6]-2-[#6](-[#6](-[#7]-2-[#6]-1-[#6](=[#8])-[#8])=[#8])-[#7]-[#6](-[#6])=[#8])-[#6]
O=C1N2C(C(=O)O)=C(C)CSC2C1NC(=O)C(=NOC)c1nc(N)sc1,1221,8,[#6]-[#8]-[#7]=[#6](-[#6]:1:[#6]:[#16]:[#6](:[#7]:1)-[#7])-[#6](-[#7]-[#6]-1-[#6]-2-[#16]-[#6]-[#6](=[#6](-[#6](=[#8])-[#8])-[#7]-2-[#6]-1=[#8])-[#6])=[#8]
O(c1ccccc1)CC(O)CNC(C)C,238,7,[#6]-[#6](-[#7]-[#6]-[#6](-[#6]-[#8]-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#8])-[#6]
C12CCCC1N(C(=O)C(C)NC(CCc)C(=O)O)C(C(O)=O)C2,1125,6,[#6]-[#6]-[#6]-[#6](-[#6](=[#8])-[#8])-[#7]-[#6](-[#6](-[#7]-1-[#6](-[#6](-[#6]-[#6]-1-[#6](=[#8])-[#8])-[#6])-[#6]-[#6])=[#8])-[#6]
cNS(=O)(=O)c1ccc(N)cc1,1078,6,[#6]-[#7]-[#16](-[#6]:1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#7])(=[#8])=[#8]
cc(C(=O)NC1C2SC(C)(C)C(C(O)=O)N2C1=O)c,1214,6,[#6]:[#6](-[#6](-[#7]-[#6]-1-[#6]-2-[#16]-[#6](-[#6](-[#6](=[#8])-[#8])-[#7]-2-[#6]-1=[#8])(-[#6])-[#6])=[#8]):[#6]
CC1CCC2CC(OC)C(C)=CC=CC=CC(C)CC(C)C(=O)C(OC)C(O)C(C)=CC(C)C(=O)CC(C(C)CC3CCCC(OC)C3)OC(=O)C3CCCCN3C(=O)C(=O)C1(O)O2,1182,5,[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6](-[#6]-2-[#6]-[#6](-[#6](-[#6]=[#6](-[#6](-[#6](-[#6](-[#6](-[#6]-[#6](-[#6]=[#6]-[#6]=[#6]-[#6]=[#6](-[#6](-[#6]-[#6]-3-[#6]-[#6]-[#6](-[#6](-[#6](-[#6](-[#7]-4-[#6]-[#6]-[#6]-[#6]-[#6]-4-[#6](-[#8]-2)=[#8])=[#8])=[#8])(-[#8]-3)-[#8])-[#6])-[#8]-[#6])-[#6])-[#6])-[#6])=[#8])-[#8]-[#6])-[#8])-[#6])-[#6])=[#8])-[#6])-[#6]-[#6]-1-[#8]-[#6]
Clc1cc2c(cc1)-ncCN=C2c1ccccc1,628,5,[#7]-[#6]:1:[#6](:[#6]:[#6](-[Cl]):[#6]:[#6]:1)-[#6](-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)=[#7]-[#6]-[#6]
CCC1CC(OC2CCC(O)CO2)c2c(O)c3c(c(O)c2C1)C(=O)c1ccccc1C3=O,1233,5,[#6]-[#6]-[#6]-1-[#6]-[#6](-[#8]-[#6]-2-[#6]-[#6]-[#6](-[#8])-[#6]-[#8]-2)-[#6]:2:[#6](-[#8]):[#6]-3:[#6](-[#6](-[#6]:4:[#6]:[#6]:[#6]:[#6]:[#6]:4-[#6]-3=[#8])=[#8]):[#6](-[#8]):[#6]:2-[#6]-1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CC(C)C(O)C1(C)O,7,5,[#6]-[#6]-[#6](-[#6](-[#8])(-[#6])-[#6](-[#8])-[#6]-[#6])-[#8]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6]-[#6](-[#6])-[#6])(-[#8])-[#6])-[#8]-[#6]-1-[#8]-[#6](-[#6]-[#6](-[#7](-[#6])-[#6])-[#6]-1-[#8])-[#6])-[#6])-[#8]-[#6]-1-[#6]-[#6](-[#6](-[#6](-[#8]-1)-[#6])-[#8])(-[#8]-[#6])-[#6])-[#6])=[#8]
